"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"562",562,"Workday","WDAY","Technology","Computer Software","no","true","false","yes",27,"yes","no","n/a","no","no",17700,53494,21,-1348.6,"Aneel Bhusri/Carl M. Eschenbach","U.S.","Pleasanton","CA","www.workday.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",6.216e+09,3.67e+08,1.3486e+10,5.3494e+10
"563",563,"Zillow Group","ZG","Technology","Internet Services and Retailing","no","true","false","no",-139,"no","yes","n/a","no","no",5724,10375,-23.8,NA,"Richard N. Barton","U.S.","Seattle","WA","www.zillowgroup.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",6.207e+09,1.01e+08,6.563e+09,1.0375e+10
"564",564,"CACI International","CACI","Technology","Information Technology Services","yes","false","false","no",-42,"no","yes","n/a","no","no",22000,6965,2.6,-19.8,"John S. Mengucci","U.S.","Reston","VA","www.caci.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",6.203e+09,3.67e+08,6.629e+09,6.965e+09
"565",565,"Coca-Cola Consolidated","COKE","Food, Beverages & Tobacco","Beverages","yes","false","false","yes",-5,"no","yes","n/a","no","no",16000,5016,11.5,126.9,"J. Frank Harrison III","U.S.","Charlotte","NC","www.cokeconsolidated.com","Public","Market value as of March 31, 2023.",6.201e+09,4.3e+08,3.71e+09,5.016e+09
"566",566,"Pool","POOL","Wholesalers","Wholesalers: Diversified","yes","false","false","yes",11,"yes","no","n/a","no","no",6100,13380,16.7,15,"Peter D. Arvan","U.S.","Covington","LA","www.poolcorp.com","Public","Market value as of March 31, 2023.",6.18e+09,7.49e+08,3.565e+09,1.338e+10
"567",567,"Securian Financial Group","","Financials","Insurance: Life, Health (stock)","no","false","false","no",-103,"no","yes","n/a","no","no",6500,NA,-15.6,-129.3,"Christopher M. Hilger","U.S.","St. Paul","MN","www.securian.com","Private","Market value as of March 31, 2021.",6.175e+09,9.1e+07,6.7855e+10,NA
"568",568,"Organon","OGN","Health Care","Pharmaceuticals","yes","false","false","",NA,"","","n/a","no","no",10000,5983,NA,NA,"Kevin Ali","U.S.","Jersey City","NJ","www.organon.com","Public","Spun off from Merck (2022 rank: 69), June 2, 2021. Market value as of March 31, 2023.",6.174e+09,9.17e+08,1.0955e+10,5.983e+09
"569",569,"Levi Strauss","LEVI","Apparel","Apparel","yes","false","false","yes",-29,"no","yes","n/a","no","no",18000,7226,7,2.8,"Charles V. Bergh","U.S.","San Francisco","CA","www.levistrauss.com","Public","Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",6.169e+09,5.69e+08,6.038e+09,7.226e+09
"570",570,"Ametek","AME","Technology","Scientific, Photographic and Control Equipment","yes","false","false","yes",-7,"no","yes","n/a","no","no",19600,33467,10.9,17.1,"David A. Zapico","U.S.","Berwyn","PA","www.ametek.com","Public","Market value as of March 31, 2023.",6.151e+09,1.16e+09,1.2431e+10,3.3467e+10
"571",571,"Petco Health and Wellness","WOOF","Retailing","Specialty Retailers: Other","yes","false","false","yes",-35,"no","yes","n/a","no","no",29000,2401,3.9,-44.8,"Ronald Coughlin Jr.","U.S.","San Diego","CA","www.petco.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",6.036e+09,9.1e+07,6.613e+09,2.401e+09
